trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.15583054072457125, 'e': 0.3116610814491425}",20,10,22.04792550736381,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.15427223531732553, 'e': 0.30854447063465107}",30,7,-31.378938950541396,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.1527295129641523, 'e': 0.3054590259283046}",25,12,23.637232177906597,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.15120221783451077, 'e': 0.30240443566902153}",30,1,-73.65011152268788,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 2}",1
120,False,"{'a': 0.14969019565616565, 'e': 0.2993803913123313}",25,0,-35.50417314336988,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.148193293699604, 'e': 0.296386587399208}",20,0,-45.05125945738204,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.14671136076260796, 'e': 0.2934227215252159}",20,13,7.445881818541995,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.14524424715498188, 'e': 0.29048849430996376}",25,7,-9.826505716809935,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.14379180468343206, 'e': 0.2875836093668641}",25,11,22.51526459482253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.14235388663659773, 'e': 0.28470777327319546}",20,0,-21.61575922464899,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.14093034777023175, 'e': 0.2818606955404635}",20,0,-23.921307658918476,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.13952104429252943, 'e': 0.27904208858505886}",20,1,-19.154881272151005,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
128,False,"{'a': 0.13812583384960414, 'e': 0.2762516676992083}",25,9,19.818473893449546,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1367445755111081, 'e': 0.2734891510222162}",20,0,1.6731705251435378,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.13537712975599703, 'e': 0.27075425951199406}",20,13,12.382848001176974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.13402335845843705, 'e': 0.2680467169168741}",30,2,-77.74068730400853,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 2}",1
