trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,True,"{'a': 0.5, 'e': 5.8708533613826015}",20,0,-106.6732394338019,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
158,True,"{'a': 0.5, 'e': 5.929856418591146}",25,0,-155.86795958461764,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
159,True,"{'a': 0.5, 'e': 5.9894524663831135}",20,0,-36.5702916891621,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
160,True,"{'a': 0.5, 'e': 6.0496474644129465}",20,0,-97.88728589357532,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
161,True,"{'a': 0.5, 'e': 6.11044743223061}",30,3,-141.1747222485186,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 2}",1
162,True,"{'a': 0.5, 'e': 6.171858449883554}",20,0,-114.78614958451797,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
163,True,"{'a': 0.5, 'e': 6.2338866585247175}",20,0,-92.4142425177221,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
164,True,"{'a': 0.5, 'e': 6.296538261026657}",30,0,-147.51204303963556,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
165,True,"{'a': 0.5, 'e': 6.359819522601832}",20,1,-39.08540139412559,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
166,True,"{'a': 0.5, 'e': 6.423736771429135}",25,0,-75.05023906749416,"{0: 15, 1: 7, 2: 0, 3: 3, 4: 0}",0
167,True,"{'a': 0.5, 'e': 6.488296399286712}",20,0,-65.29510453243087,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
168,True,"{'a': 0.5, 'e': 6.553504862191148}",20,0,-42.25196244703572,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
169,True,"{'a': 0.5, 'e': 6.619368681043077}",30,0,-206.05445461610242,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
170,True,"{'a': 0.5, 'e': 6.6858944422792685}",20,0,-136.61933568108768,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
171,True,"{'a': 0.5, 'e': 6.753088798531286}",20,0,-93.5078766062056,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
172,True,"{'a': 0.5, 'e': 6.8209584692907494}",25,0,-93.06540056169374,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
173,True,"{'a': 0.5, 'e': 6.889510241581292}",30,0,-223.1004592955667,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
174,True,"{'a': 0.5, 'e': 6.958750970637272}",25,0,-227.13185787693766,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
175,True,"{'a': 0.5, 'e': 7.028687580589293}",20,0,-125.54975317163377,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
176,True,"{'a': 0.5, 'e': 7.099327065156633}",25,0,-192.89178516056424,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
177,True,"{'a': 0.5, 'e': 7.170676488346613}",25,0,-106.54354127127193,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
178,True,"{'a': 0.5, 'e': 7.242742985161012}",20,1,-13.407321073850278,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
179,True,"{'a': 0.5, 'e': 7.315533762309567}",25,0,-149.9228700195405,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
180,True,"{'a': 0.5, 'e': 7.38905609893065}",20,0,-43.15348810955724,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
181,True,"{'a': 0.5, 'e': 7.463317347319193}",30,0,-281.9931885493992,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 5}",0
182,True,"{'a': 0.5, 'e': 7.538324933661922}",35,0,-104.17389941279436,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
183,True,"{'a': 0.5, 'e': 7.614086358779973}",25,1,-136.26102426067263,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 3}",1
184,True,"{'a': 0.5, 'e': 7.690609198878998}",25,8,-147.25105679850563,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 2}",1
185,True,"{'a': 0.5, 'e': 7.767901106306771}",20,0,-88.43864177916302,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
186,True,"{'a': 0.5, 'e': 7.845969810318449}",30,3,-137.9653358459794,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 3}",1
187,True,"{'a': 0.5, 'e': 7.924823117849487}",20,0,-38.13903043140784,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
188,True,"{'a': 0.5, 'e': 8.004468914296353}",25,0,-175.78319561580227,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
189,True,"{'a': 0.5, 'e': 8.084915164305059}",30,0,-177.07527224667174,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
190,True,"{'a': 0.5, 'e': 8.166169912567652}",20,0,-111.05580770878042,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
191,True,"{'a': 0.5, 'e': 8.24824128462666}",20,0,-79.81496458040561,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
192,True,"{'a': 0.5, 'e': 8.331137487687693}",20,0,-147.5351645908671,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
193,True,"{'a': 0.5, 'e': 8.41486681144013}",25,0,-84.28505717682759,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
194,True,"{'a': 0.5, 'e': 8.499437628886124}",20,0,-143.3855674203504,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
195,True,"{'a': 0.5, 'e': 8.584858397177893}",25,0,-123.67076427302271,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
196,True,"{'a': 0.5, 'e': 8.671137658463456}",30,0,-154.79337720637872,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
197,True,"{'a': 0.5, 'e': 8.758284040740834}",25,0,-138.97920999687548,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
198,True,"{'a': 0.5, 'e': 8.846306258720883}",20,0,-80.64154643758567,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
199,True,"{'a': 0.5, 'e': 8.935213114698747}",25,0,-117.70081479746472,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
200,True,"{'a': 0.5, 'e': 9.025013499434122}",20,11,-57.96125431881506,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
201,True,"{'a': 0.5, 'e': 9.115716393040305}",25,0,-15.674062034734305,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
202,True,"{'a': 0.5, 'e': 9.207330865882252}",35,0,-154.09614963885014,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
