trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-134.13442759219805,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,2,-99.75003780920714,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-129.62269518480048,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-46.46726986167293,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,-83.59423641384237,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,10,-52.29558895741607,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,16,-39.68052291281232,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-128.61975143990023,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,11,-34.962504402158935,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-127.6270119011581,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,4.09187801042952,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-14.80513922668912,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,17,-12.559177260782883,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,1,-90.25413087184194,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",25,0,-46.05455618056434,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,10,-17.441027157670135,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-40.431410786577516,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,0,-78.10754799057716,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,14,8.447826189339558,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-94.87602832534412,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-33.64685652355974,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-45.01266912762312,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-109.99605864026991,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-85.10845866558908,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,12,-46.71046309474193,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-85.56228500254092,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,2,-68.31111457094683,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-87.34405088999776,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-84.91999194122346,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-7.779760435344611,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-62.12109573461356,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-101.44391365215618,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,10,-12.258768332393739,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-77.94437042971485,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-76.08380914377362,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-42.15979955501635,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-0.9755523661709795,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-114.33336655010326,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,0,-82.55113986559981,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,6,6.367373436632029,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,0,-38.09838599196259,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,16,7.982017373334688,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",35,0,-108.73855417767467,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-27.71016340186326,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,9,-58.875661315793096,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,9,-130.5492877117273,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 3}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,3.03728716405186,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-54.640973274764335,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-88.7407165592061,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,2,-3.6062682346411266,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-109.29012313144307,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",35,12,-98.12836578965079,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 2}",1
